"Plot","300","350","400","450","500","550","600","650","700","750","800","850","900","950","1000","1050","1100","1150","1200","1250","1300","1350","1400","1450","1500","1550","1600","1650","Block","Entry","Genotype","Rep","Year"
"YC18:1001",NA,NA,NA,0.0889383370481018,0.144226001275553,0.20425486586553,0.241505523461297,0.294383088172592,0.371485241905699,0.46074542216672,0.550097066461755,0.627473612296907,0.680808497178276,0.698180656464052,0.696109903317679,0.692843724681781,0.689205916450263,0.686020274517032,0.684110594775993,0.684300673121053,0.688089828644948,0.693724009013163,0.706411284347767,0.732328050028773,0.750661557017922,0.763627592554352,0.778151541194139,0.789574667481796,1,"212","A663",1,2018
"YC18:1002",NA,NA,NA,0.0394908842939143,0.0666959421973079,0.0962339731462522,0.115925280392603,0.163721660921936,0.24334716868161,0.340240238746672,0.439839306192168,0.527582806093147,0.588909173524655,0.609405806675555,0.604781846571917,0.595945602673726,0.586694912318077,0.580827612842061,0.58214154158277,0.594434535877297,0.631248591342314,0.684791879061349,0.693419666435028,0.676866190913591,0.66417776371962,0.67627813800151,0.7027312464817,0.725800119610539,1,"198","2369",1,2018
"YC18:1003",NA,NA,NA,0.0798454061293679,0.130664302104662,0.185841178678124,0.218705200140638,0.24573857434786,0.276768597106782,0.310956033273943,0.347461647705884,0.385446205259144,0.424070470790263,0.462495209155781,0.499881185212238,0.535389163816173,0.568179909824126,0.597414188092637,0.622252763478246,0.641856400837492,0.664876274517036,0.697040633871844,0.710305067711191,0.719337063769422,0.725168988790906,0.736528916177744,0.753200425376758,0.767005154099441,1,"210","A648",1,2018
"YC18:1004",NA,NA,NA,0.0778333556107549,0.13930506653016,0.210499895169682,0.231994616682709,0.241906952299697,0.262762178663266,0.292853136530578,0.330472666658799,0.373913609805091,0.421468806726618,0.471431098180544,0.522093324924033,0.571748327714249,0.618688947308355,0.661208024463516,0.697598399936894,0.726152914485654,0.745164408866959,0.752925723837974,0.751748777298641,0.748981579121983,0.747830745603681,0.764125249914384,0.792380613772306,0.811795342312718,1,"89","PHR30",1,2018
"YC18:1005",NA,NA,NA,0.0766551684065657,0.12956242529623,0.187006750427982,0.223193512376699,0.282405161347134,0.372587528092791,0.478685814297527,0.585645221645199,0.678410951819661,0.741928206504771,0.761313349580076,0.755491865926339,0.746623428435542,0.736625767697106,0.727416614300455,0.720913698835008,0.719034751890189,0.723921969391562,0.731432146080182,0.745335884497592,0.772819186402326,0.792102851813196,0.793500990368812,0.785994001325334,0.778497623375843,1,"7","OQ403",1,2018
"YC18:1006",NA,NA,NA,0.0750497173307375,0.134779728240073,0.199631893491323,0.239906795852228,0.297505119875535,0.381617706083926,0.478917328867556,0.576076762616577,0.659768781721144,0.716666160571409,0.733564855151127,0.723018885230967,0.704785814229836,0.685090601350493,0.670158205795702,0.666213586768225,0.679481703470822,0.728163001053947,0.799308458868405,0.819200968098745,0.816995826254622,0.813974779024604,0.815442746081387,0.816476441711903,0.817182291642932,1,"68","FBLA",1,2018
"YC18:1007",NA,NA,NA,0.153732665234467,0.211824891074486,0.274898822798832,0.31236347369138,0.341524641210152,0.373345727253276,0.407183304048165,0.442393943822226,0.478334218802871,0.51436070121751,0.549829963293551,0.584098577258406,0.616523115339484,0.646460149764196,0.67326625275995,0.696297996554158,0.714911953374229,0.737622109426088,0.769433558582009,0.779547087652226,0.781423231923713,0.782060793402496,0.779328427953633,0.772496049820006,0.766460522630728,1,"23","LH146Ht",1,2018
"YC18:1008",NA,NA,NA,0.204232471887483,0.233525186130039,0.265329900641133,0.284369723244392,0.301621204984312,0.323120338248416,0.348215422499122,0.376254757198848,0.406586641810012,0.438559375795032,0.471521258616326,0.504820589736314,0.537805668617412,0.569824794722039,0.600226267512614,0.628358386451554,0.653569451001277,0.688379605287609,0.737489845596048,0.753611090934276,0.757700432221072,0.759609848448874,0.76341819328393,0.767295948156866,0.77027769793657,1,"254","PH207",1,2018
"YC18:1009",NA,NA,NA,0.148010078547212,0.169548942633681,0.192934874626565,0.206966632045768,0.220238253004728,0.237429534499921,0.25813565755239,0.281951803183178,0.308473152413328,0.337294886263883,0.368012185755885,0.400220231910377,0.433514205748402,0.467489288291004,0.501740660559225,0.535863503574107,0.569452998356694,0.620511094885024,0.692907216913084,0.712505427035964,0.708749402247445,0.70451611272943,0.697160496107896,0.682378441255175,0.669604241388635,1,"38","912",1,2018
"YC18:1010",NA,NA,NA,0.122273511127522,0.162057350206438,0.205252857238763,0.231153377446081,0.255201325761603,0.28542297580519,0.320499697398902,0.359112860364798,0.399943834524938,0.441673989701382,0.482984695716188,0.522557322391417,0.559073239549127,0.591213817011378,0.617660424600229,0.637094432137739,0.648197209445969,0.65364836090665,0.660570353930457,0.673240534525526,0.698231766929919,0.715857018110797,0.726145494536593,0.736001284569602,0.743460043186805,1,"27","PHGW7",1,2018
